"INDEX","TARGET"
3,2.86702811653794
9,3.17804102756665
10,1.5283701038339
18,2.02165577222979
21,2.25483415342102
30,5.18013629064642
31,1.55902451267634
37,4.36401795644373
39,1.21625529044673
47,3.38389797467692
60,2.11509425184048
62,2.16424145443117
63,2.69402620633092
64,3.22787226893908
68,2.12759302631543
75,1.95658364038947
76,2.1493342578773
83,0.518461349215989
87,3.03505498544087
92,5.24536571463504
98,2.16636652205236
106,3.2010208563032
107,5.05209083633379
113,2.16484856654476
120,3.20494703114156
123,5.36805051821407
125,2.32640745515348
126,5.60571489060205
128,4.23200601449798
129,1.99884640064529
131,3.80766225333156
135,3.32816574485168
141,3.91568929480675
147,2.69866939882101
148,2.12964621818839
151,3.29733109938618
156,2.61367983259839
157,3.22605803201445
174,2.76878193186447
186,2.76381753363458
193,2.24839496358551
195,2.95547910968587
212,2.18529453528581
213,2.38519611512493
217,2.61853545992393
223,3.4592466644233
226,2.82760622926888
228,4.16803698097904
230,3.62475918093195
241,2.0541537747663
243,3.23615302063334
249,2.90420838373223
281,3.6085402494047
288,1.37877151687032
294,1.48290550037614
295,1.90603944752134
300,5.11656280799282
302,3.26087743226011
303,3.37448291072066
308,2.57291591609937
319,4.35987966902177
320,2.72800973837322
324,2.23975065309092
331,2.29332287647495
343,2.31524410188909
347,2.03989210417895
348,3.22680044843049
350,3.91906483347767
357,2.0042954869268
358,2.9406873320348
360,3.89872611117461
366,3.22445352313518
367,2.34068989725669
368,4.45576414528441
376,1.75075012678171
380,2.94145357587861
388,1.18221457646479
396,3.68756910173235
398,4.27052611534637
403,3.43726612151161
410,1.24900547297093
412,4.90440279784484
420,2.24201291727747
434,1.9462333689118
440,2.60372463240912
450,2.49723095335445
453,2.23542368988497
464,4.3902308280778
465,3.75197031959942
466,4.32245974033033
473,1.86868331547598
476,3.40911128524076
478,3.16748880764029
479,2.92832275677386
493,2.51898497107722
497,2.48703831003382
503,3.21601138563985
504,2.24917432779685
505,2.18973628853327
507,1.99168857442591
513,1.91498363851581
519,2.22543253895797
521,3.12380168702028
522,3.35136743443765
545,2.35658676431053
549,3.58356487540357
551,2.69398345903918
556,6.23586265121161
557,5.93879075784159
559,2.40333514776964
560,2.084439045277
566,2.85104165197875
569,3.29573132380295
573,2.19266974046114
578,2.54784067378983
579,4.79197134108945
582,3.744735201244
596,3.69463520187302
598,1.58529840588577
599,2.51056984956878
602,2.27511518340449
605,2.63287718832719
617,2.41319827247528
619,4.75900593926206
630,3.01495991422982
634,2.50902928648275
643,1.80843827623339
645,1.23717436365308
647,3.82724060163074
649,2.33813472181065
656,3.04272230214086
657,3.80352431413372
658,2.75210072504709
667,3.11201641572665
692,2.93207109278753
693,3.63859137250836
698,1.02309806968141
699,2.81483560318494
700,5.94554745493843
704,2.71003153727438
707,2.59324985568162
708,3.95913203331659
709,2.54799717552567
713,1.57915670086331
714,2.28974922606076
716,1.39487599021304
